Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Detector Time,Descriptor Time,Matches
""
AKAZE,ORB,0,1351,166,57.0362,2.28353,0
AKAZE,ORB,1,1327,157,48.675,2.0778,129
AKAZE,ORB,2,1311,161,47.7414,2.09839,130
AKAZE,ORB,3,1351,155,45.2359,2.06437,126
AKAZE,ORB,4,1360,163,47.7908,2.10836,129
AKAZE,ORB,5,1347,164,47.5365,2.14175,129
AKAZE,ORB,6,1363,173,48.53,2.1239,138
AKAZE,ORB,7,1331,175,45.1496,2.12126,142
AKAZE,ORB,8,1357,177,46.8377,2.14092,140
AKAZE,ORB,9,1331,179,54.0452,2.1788,145
""
AKAZE,FREAK,0,1351,166,56.9262,31.1534,0
AKAZE,FREAK,1,1327,157,44.439,31.5015,141
AKAZE,FREAK,2,1311,161,47.6992,31.2015,132
AKAZE,FREAK,3,1351,155,45.152,31.057,134
AKAZE,FREAK,4,1360,163,48.5704,31.102,129
AKAZE,FREAK,5,1347,164,52.2121,31.4535,127
AKAZE,FREAK,6,1363,173,49.0406,31.2113,142
AKAZE,FREAK,7,1331,175,49.8795,31.3403,148
AKAZE,FREAK,8,1357,177,49.7772,31.2404,150
AKAZE,FREAK,9,1331,179,45.3062,31.1572,149
""
AKAZE,AKAZE,0,1351,166,54.2135,42.214,0
AKAZE,AKAZE,1,1327,157,49.7732,36.6663,133
AKAZE,AKAZE,2,1311,161,45.1863,40.2075,135
AKAZE,AKAZE,3,1351,155,48.4852,37.1255,127
AKAZE,AKAZE,4,1360,163,49.3059,41.9388,131
AKAZE,AKAZE,5,1347,164,47.4219,37.1505,131
AKAZE,AKAZE,6,1363,173,48.2722,37.0766,141
AKAZE,AKAZE,7,1331,175,52.4479,40.0124,148
AKAZE,AKAZE,8,1357,177,47.8471,39.7316,149
AKAZE,AKAZE,9,1331,179,47.4086,37.8689,155
""
AKAZE,SIFT,0,1351,166,55.4593,18.7477,0
