Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Ratio,Detector Time,Descriptor Time,Time Together,Matches
BRISK,FREAK,AVG,2711.6,276.2,0.10185194623707879,255.25140000000002,32.828430000000004,288.07983,149.4
""
BRISK,SIFT,0,2757,264,0.0957562568008705,265.223,36.4101,301.6331,0
BRISK,SIFT,1,2777,282,0.10154843356139719,259.414,31.5176,290.9316,166
BRISK,SIFT,2,2741,282,0.102882159795695,264.577,32.0383,296.6153,180
BRISK,SIFT,3,2735,277,0.10127970749542961,272.617,40.818,313.435,161
BRISK,SIFT,4,2757,297,0.10772578890097932,265.798,33.0891,298.88710000000003,173
BRISK,SIFT,5,2695,279,0.10352504638218923,260.381,32.7075,293.08849999999995,166
BRISK,SIFT,6,2715,289,0.10644567219152855,252.27,34.9674,287.2374,181
BRISK,SIFT,7,2628,272,0.1035007610350076,250.279,32.6168,282.8958,177
BRISK,SIFT,8,2639,266,0.10079575596816977,253.707,36.3186,290.0256,169
BRISK,SIFT,9,2672,254,0.09505988023952096,258.701,37.7978,296.4988,163
BRISK,SIFT,AVG,2711.6,276.2,0.10185194623707879,260.2967,34.82812,295.12481999999994,153.6
""
ORB,BRISK,0,500,92,0.184,7.62217,1.42965,9.05182,0
ORB,BRISK,1,500,102,0.204,6.01098,1.12891,7.13989,67
ORB,BRISK,2,500,106,0.212,5.6612,1.15682,6.81802,68
ORB,BRISK,3,500,113,0.226,5.81213,1.17054,6.98267,70
ORB,BRISK,4,500,109,0.218,5.7023,1.26917,6.97147,81
ORB,BRISK,5,500,125,0.25,5.53469,1.28074,6.81543,79
ORB,BRISK,6,500,130,0.26,6.86082,1.77675,8.63757,88
ORB,BRISK,7,500,129,0.258,5.90557,1.30616,7.21173,88
ORB,BRISK,8,500,127,0.254,5.57816,1.30566,6.88382,89
ORB,BRISK,9,500,128,0.256,5.59044,1.32341,6.91385,87
ORB,BRISK,AVG,500.0,116.1,0.23220000000000002,6.027845999999999,1.314781,7.3426269999999985,71.7
""
ORB,BRIEF,0,500,92,0.184,7.16986,0.813952,7.983812,0
ORB,BRIEF,1,500,102,0.204,5.97751,0.395439,6.372948999999999,47
ORB,BRIEF,2,500,106,0.212,5.60739,0.382736,5.990126,54
ORB,BRIEF,3,500,113,0.226,5.33175,0.388291,5.720041,51
ORB,BRIEF,4,500,109,0.218,5.37448,0.390327,5.764807,58
ORB,BRIEF,5,500,125,0.25,6.46651,0.455963,6.922473,60
ORB,BRIEF,6,500,130,0.26,5.33379,0.42916,5.76295,68
ORB,BRIEF,7,500,129,0.258,5.39912,0.467653,5.866773,69
ORB,BRIEF,8,500,127,0.254,5.4225,0.426614,5.849114,73
ORB,BRIEF,9,500,128,0.256,5.49318,0.45518,5.94836,70
ORB,BRIEF,AVG,500.0,116.1,0.23220000000000002,5.757609,0.4605315000000001,6.2181405,55.0
""
ORB,ORB,0,500,92,0.184,6.40893,4.07334,10.48227,0
ORB,ORB,1,500,102,0.204,5.86649,3.77374,9.640229999999999,68
ORB,ORB,2,500,106,0.212,5.59635,3.31922,8.91557,77
ORB,ORB,3,500,113,0.226,5.57168,3.31637,8.88805,75
ORB,ORB,4,500,109,0.218,5.39964,3.28986,8.689499999999999,84
ORB,ORB,5,500,125,0.25,5.3931,3.42644,8.81954,87
ORB,ORB,6,500,130,0.26,5.45042,3.29863,8.74905,95
ORB,ORB,7,500,129,0.258,6.13612,3.36053,9.496649999999999,95
ORB,ORB,8,500,127,0.254,6.17327,3.85915,10.03242,93
ORB,ORB,9,500,128,0.256,5.84337,3.72241,9.56578,95
ORB,ORB,AVG,500.0,116.1,0.23220000000000002,5.783937,3.5439689999999997,9.327906,76.9
""
ORB,FREAK,0,500,92,0.184,7.39122,35.4484,42.83962,0
ORB,FREAK,1,500,102,0.204,6.13357,33.219,39.35257,39
ORB,FREAK,2,500,106,0.212,5.61849,31.6548,37.27329,45
ORB,FREAK,3,500,113,0.226,5.46008,32.7074,38.16748,43
ORB,FREAK,4,500,109,0.218,6.98964,31.6942,38.68384,44
ORB,FREAK,5,500,125,0.25,5.55194,31.5547,37.10664,41
ORB,FREAK,6,500,130,0.26,5.62668,32.306,37.93268,48
ORB,FREAK,7,500,129,0.258,5.66023,30.886,36.54623,50
ORB,FREAK,8,500,127,0.254,5.52301,30.8221,36.34511,47
ORB,FREAK,9,500,128,0.256,5.48046,30.8935,36.37396,56
ORB,FREAK,AVG,500.0,116.1,0.23220000000000002,5.943531999999999,32.118610000000004,38.062141999999994,41.3
""
ORB,SIFT,0,500,92,0.184,6.48793,39.8786,46.36653,0
ORB,SIFT,1,500,102,0.204,5.41258,34,39.41258,63
ORB,SIFT,2,500,106,0.212,5.85938,35.74,41.599380000000004,70
ORB,SIFT,3,500,113,0.226,5.38222,38.8983,44.280519999999996,69
ORB,SIFT,4,500,109,0.218,5.34861,34.9472,40.29581,74
ORB,SIFT,5,500,125,0.25,5.46158,35.5249,40.98648,83
ORB,SIFT,6,500,130,0.26,5.61593,44.7824,50.39833,89
ORB,SIFT,7,500,129,0.258,6.46644,39.9731,46.43954,94
ORB,SIFT,8,500,127,0.254,5.73935,41.7788,47.51815,87
ORB,SIFT,9,500,128,0.256,5.58174,38.7425,44.32424,89
ORB,SIFT,AVG,500.0,116.1,0.23220000000000002,5.735576,38.42658,44.162156,71.8
""
AKAZE,BRISK,0,1351,166,0.1228719467061436,67.3161,1.62441,68.94051,0
AKAZE,BRISK,1,1327,157,0.11831198191409194,55.7736,1.54977,57.323370000000004,140
AKAZE,BRISK,2,1311,161,0.12280701754385964,52.3279,1.54532,53.873219999999996,128
AKAZE,BRISK,3,1351,155,0.11472982975573649,55.3391,1.48175,56.82085,133
AKAZE,BRISK,4,1360,163,0.11985294117647059,57.4112,3.07407,60.48527,134
AKAZE,BRISK,5,1347,164,0.12175204157386786,52.884,1.69354,54.57754,138
AKAZE,BRISK,6,1363,173,0.1269258987527513,54.3721,1.64508,56.01718,140
AKAZE,BRISK,7,1331,175,0.13148009015777612,55.2349,2.43152,57.66642,145
AKAZE,BRISK,8,1357,177,0.13043478260869565,60.1373,1.6742,61.8115,151
AKAZE,BRISK,9,1331,179,0.13448534936138243,51.097,1.67903,52.77603,147
AKAZE,BRISK,AVG,1342.9,167.0,0.12436518795507756,56.189319999999995,1.8398690000000002,58.029188999999995,125.6
""
AKAZE,BRIEF,0,1351,166,0.1228719467061436,61.5145,0.641353,62.155853,0
AKAZE,BRIEF,1,1327,157,0.11831198191409194,49.0782,0.588519,49.666719,139
AKAZE,BRIEF,2,1311,161,0.12280701754385964,55.5113,0.583346,56.094646,131
AKAZE,BRIEF,3,1351,155,0.11472982975573649,64.3711,0.555244,64.926344,132
AKAZE,BRIEF,4,1360,163,0.11985294117647059,53.2757,0.586923,53.862623,129
AKAZE,BRIEF,5,1347,164,0.12175204157386786,53.6058,0.579018,54.184818,131
AKAZE,BRIEF,6,1363,173,0.1269258987527513,46.6393,0.589609,47.228909,143
AKAZE,BRIEF,7,1331,175,0.13148009015777612,52.1361,0.616303,52.752403,151
AKAZE,BRIEF,8,1357,177,0.13043478260869565,44.9528,0.623361,45.576161000000006,151
AKAZE,BRIEF,9,1331,179,0.13448534936138243,54.293,0.624223,54.917223,146
AKAZE,BRIEF,AVG,1342.9,167.0,0.12436518795507756,53.53778,0.5987899000000001,54.136569900000005,125.3
""
AKAZE,ORB,0,1351,166,0.1228719467061436,58.633,2.1683,60.801300000000005,0
AKAZE,ORB,1,1327,157,0.11831198191409194,46.6259,2.16883,48.79473,129
AKAZE,ORB,2,1311,161,0.12280701754385964,48.5664,2.1103,50.676700000000004,130
AKAZE,ORB,3,1351,155,0.11472982975573649,49.2926,2.13242,51.42502,126
AKAZE,ORB,4,1360,163,0.11985294117647059,57.0639,2.15122,59.21512,129
AKAZE,ORB,5,1347,164,0.12175204157386786,53.341,2.12978,55.47078,129
AKAZE,ORB,6,1363,173,0.1269258987527513,53.9825,2.28229,56.264790000000005,138
AKAZE,ORB,7,1331,175,0.13148009015777612,53.9166,2.14078,56.05738,142
AKAZE,ORB,8,1357,177,0.13043478260869565,51.5202,2.25445,53.77465,140
AKAZE,ORB,9,1331,179,0.13448534936138243,59.7571,2.25212,62.00922,145
AKAZE,ORB,AVG,1342.9,167.0,0.12436518795507756,53.26992,2.179049,55.448969,120.8
""
AKAZE,FREAK,0,1351,166,0.1228719467061436,61.9699,31.4742,93.4441,0
AKAZE,FREAK,1,1327,157,0.11831198191409194,46.6372,31.637,78.27420000000001,141
AKAZE,FREAK,2,1311,161,0.12280701754385964,51.6281,39.0278,90.6559,132
AKAZE,FREAK,3,1351,155,0.11472982975573649,51.9451,32.1274,84.07249999999999,134
AKAZE,FREAK,4,1360,163,0.11985294117647059,49.8053,31.2697,81.075,129
